from,to,weight,relationship,medium,book chapter,film section
Gandalf,Bilbo,3,1,1,,
Gandalf,Thorin,3,2,1,,
Gandalf,Bifur,3,2,1,,
Gandalf,Bofur,3,2,1,,
Gandalf,Fili,3,2,1,,
Gandalf,Kili,3,2,1,,
Gandalf,Dori,3,2,1,,
Gandalf,Nori,3,2,1,,
Gandalf,Ori,3,2,1,,
Gandalf,Oin,3,2,1,,
Gandalf,Gloin,3,2,1,,
Gandalf,Balin,3,2,1,,
Gandalf,Dwalin,3,2,1,,
Gandalf,Bombur,3,2,1,,
Gandalf,Gollum,1,5,1,,
Bilbo,Gandalf,3,1,1,,
Bilbo,Thorin,3,1,1,,
Bilbo,Bifur,3,1,1,,
Bilbo,Bofur,3,1,1,,
Bilbo,Fili,3,1,1,,
Bilbo,Kili,3,1,1,,
Bilbo,Dori,3,1,1,,
Bilbo,Nori,3,1,1,,
Bilbo,Ori,3,1,1,,
Bilbo,Oin,3,1,1,,
Bilbo,Gloin,3,1,1,,
Bilbo,Balin,3,1,1,,
Bilbo,Dwalin,3,1,1,,
Bilbo,Bombur,3,1,1,,
Bilbo,Gollum,2,5,1,,
Thorin,Bilbo,3,1,1,,
Thorin,Gandalf,3,2,1,,
Thorin,Bifur,3,4,1,,
Thorin,Bofur,3,4,1,,
Thorin,Fili,3,4,1,,
Thorin,Kili,3,4,1,,
Thorin,Dori,3,4,1,,
Thorin,Nori,3,4,1,,
Thorin,Ori,3,4,1,,
Thorin,Oin,3,4,1,,
Thorin,Gloin,3,4,1,,
Thorin,Balin,3,4,1,,
Thorin,Dwalin,3,4,1,,
Thorin,Bombur,3,4,1,,
Thorin,Gollum,1,5,1,,
Bifur,Bilbo,3,1,1,,
Bifur,Thorin,3,4,1,,
Bifur,Gandalf,3,2,1,,
Bifur,Bofur,3,4,1,,
Bifur,Fili,3,4,1,,
Bifur,Kili,3,4,1,,
Bifur,Dori,3,4,1,,
Bifur,Nori,3,4,1,,
Bifur,Ori,3,4,1,,
Bifur,Oin,3,4,1,,
Bifur,Gloin,3,4,1,,
Bifur,Balin,3,4,1,,
Bifur,Dwalin,3,4,1,,
Bifur,Bombur,3,4,1,,
Bifur,Gollum,1,5,1,,
Bofur,Bilbo,3,1,1,,
Bofur,Thorin,3,4,1,,
Bofur,Bifur,3,4,1,,
Bofur,Gandalf,3,2,1,,
Bofur,Fili,3,4,1,,
Bofur,Kili,3,4,1,,
Bofur,Dori,3,4,1,,
Bofur,Nori,3,4,1,,
Bofur,Ori,3,4,1,,
Bofur,Oin,3,4,1,,
Bofur,Gloin,3,4,1,,
Bofur,Balin,3,4,1,,
Bofur,Dwalin,3,4,1,,
Bofur,Bombur,3,4,1,,
Bofur,Gollum,1,5,1,,
Fili,Bilbo,3,1,1,,
Fili,Thorin,3,4,1,,
Fili,Bifur,3,4,1,,
Fili,Bofur,3,4,1,,
Fili,Gandalf,3,2,1,,
Fili,Kili,3,4,1,,
Fili,Dori,3,4,1,,
Fili,Nori,3,4,1,,
Fili,Ori,3,4,1,,
Fili,Oin,3,4,1,,
Fili,Gloin,3,4,1,,
Fili,Balin,3,4,1,,
Fili,Dwalin,3,4,1,,
Fili,Bombur,3,4,1,,
Fili,Gollum,1,5,1,,
Kili,Bilbo,3,1,1,,
Kili,Thorin,3,4,1,,
Kili,Bifur,3,4,1,,
Kili,Bofur,3,4,1,,
Kili,Fili,3,4,1,,
Kili,Gandalf,3,2,1,,
Kili,Dori,3,4,1,,
Kili,Nori,3,4,1,,
Kili,Ori,3,4,1,,
Kili,Oin,3,4,1,,
Kili,Gloin,3,4,1,,
Kili,Balin,3,4,1,,
Kili,Dwalin,3,4,1,,
Kili,Bombur,3,4,1,,
Kili,Gollum,1,5,1,,
Dori,Bilbo,3,1,1,,
Dori,Thorin,3,4,1,,
Dori,Bifur,3,4,1,,
Dori,Bofur,3,4,1,,
Dori,Fili,3,4,1,,
Dori,Kili,3,4,1,,
Dori,Gandalf,3,2,1,,
Dori,Nori,3,4,1,,
Dori,Ori,3,4,1,,
Dori,Oin,3,4,1,,
Dori,Gloin,3,4,1,,
Dori,Balin,3,4,1,,
Dori,Dwalin,3,4,1,,
Dori,Bombur,3,4,1,,
Dori,Gollum,1,5,1,,
Nori,Bilbo,3,1,1,,
Nori,Thorin,3,4,1,,
Nori,Bifur,3,4,1,,
Nori,Bofur,3,4,1,,
Nori,Fili,3,4,1,,
Nori,Kili,3,4,1,,
Nori,Dori,3,4,1,,
Nori,Gandalf,3,2,1,,
Nori,Ori,3,4,1,,
Nori,Oin,3,4,1,,
Nori,Gloin,3,4,1,,
Nori,Balin,3,4,1,,
Nori,Dwalin,3,4,1,,
